Plano:,Projeto:,Avaliador:,Orientador:,Vigência:,Área:,Subárea:,Programa:,Centro:
ANÁLISE DA COMPLEXIDADE CLIMÁTICA DO MUNICÍPIO DE AREIA - PB ATRAVÉS DO SAMPEN,"ESTUDO DA EVOLUÇÃO TEMPORAL DA COMPLEXIDADE CLIMÁTICA NO AGRESTE, BREJO E LITORAL DO ESTADO DA PARAÍBA ATRAVÉS DO SAMPEN",FRANCISCO BORJA RUIZ REVERTER,LÁZARO DE SOUTO ARAÚJO,2016,Probabilidade e Estatística,,PIBIC,
EFEITO DA NÃO NORMALIDADE DOS DADOS NOS GRÁFICOS DE CONTROLE X  E S SOB O ERRO TIPO I,ROBUSTEZ DOS GRÁFICOS DE CONTROLE DE SHEWHART,HEMILIO FERNANDES CAMPOS COELHO,LUIZ MEDEIROS DE ARAUJO LIMA FILHO,2016,Probabilidade e Estatística,,PIBIC,
ESTUDO DE MODELOS COMPOSTOS EM ANÁLISE DE SOBREVIVÊNCIA,MODELOS PROBABILÍSTICOS PARA DADOS DE SOBREVIVÊNCIA,ANA FLAVIA UZEDA DOS SANTOS MACAMBIRA,RODRIGO BERNARDO DA SILVA,2016,Probabilidade e Estatística,,PIBIC-AF,
"AVALIADORES DE TREINAMENTO BASEADOS EM REALIDADE VIRTUAL USANDO REDES ""FUZZY NAIVE BAYES"" BASEADAS NA DISTRIBUIÇÃO BETA",ESTUDO E IMPLEMENTAÇÃO DE AVALIADORES DE TREINAMENTO PARA SIMULADORES BASEADOS EM REALIDADE VIRTUAL.,HEMILIO FERNANDES CAMPOS COELHO,RONEI MARCOS DE MORAES,2016,Probabilidade e Estatística,,PIBITI,
UMA AVALIAÇÃO DA EFICIÊNCIA DA ATENÇÃO PRIMÁRIA À SAÚDE NA PARAÍBA VIA MODELOS DE REGRESSÃO BETA INFLACIONADOS,REGRESSÃO BETA INFLACIONADA: UMA AVALIAÇÃO DA EFICIÊNCIA DA ATENÇÃO PRIMÁRIA À SAÚDE.,EUFRASIO DE ANDRADE LIMA NETO,TARCIANA LIBERAL PEREIRA,2016,Probabilidade e Estatística,,PIBIC,
ERROS DE ESPECIFICAÇÃO NO MODELO DE REGRESSÃO BETA,ERROS DE ESPECIFICAÇÃO NOS MODELOS DE REGRESSÃO COM DISPERSÃO VARIÁVEL,RODRIGO BERNARDO DA SILVA,TATIENE CORREIA DE SOUZA,2016,Probabilidade e Estatística,,PIBIC,
PROJETO E SIMULAÇÃO DE APLICAÇÕES DE ROBÔS ATRAVÉS DE COSSIMULAÇÃO,DESENVOLVIMENTO DE UM AMBIENTE PARA SIMULAÇÃO DISTRIBUÍDA DE SISTEMAS EMBARCADOS COMPLEXOS E HETEROGÊNEOS,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA,ALISSON VASCONCELOS DE BRITO,2016,Ciência da Computação,,PIBIC,
SIMULADOR DE DRONES PARA VALIDAÇÃO DE ESTRATÉGIAS,DESENVOLVIMENTO DE UM AMBIENTE PARA SIMULAÇÃO DISTRIBUÍDA DE SISTEMAS EMBARCADOS COMPLEXOS E HETEROGÊNEOS,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA,ALISSON VASCONCELOS DE BRITO,2016,Ciência da Computação,,PIBIC,
PROPOSTA DE SERVIÇO WEB PARA A CRIAÇÃO SIMPLIFICADA DE EXERCÍCIOS ONLINE POR PROFESSORES,EDUCSERVICE: PROPOSTA E AVALIAO DE APLICATIVOS E SERVIOS DE SUPORTE AO  PROCESSO DE ENSINO-APRENDIZAGEM,GABRIELA COUTINHO MACHADO DE SOUZA,AYLA DEBORA DANTAS DE SOUZA REBOUCAS,2016,Ciência da Computação,,PIVIC,
PROPOSTA DE APLICATIVO EM REDE SOCIAL PARA A CRIAÇÃO E APLICAÇÃO DE EXERCÍCIOS ONLINE POR PROFESSORES,EDUCSERVICE: PROPOSTA E AVALIAO DE APLICATIVOS E SERVIOS DE SUPORTE AO  PROCESSO DE ENSINO-APRENDIZAGEM,GABRIELA COUTINHO MACHADO DE SOUZA,AYLA DEBORA DANTAS DE SOUZA REBOUCAS,2016,Ciência da Computação,,PIVIC,
REITORES DA UFPB: DE HUMBERTO CARNEIRO DA CUNHA NÓBREGA A JOSÉ JACKSON CARNEIRO DE CARVALHO,REMINISCÊNCIAS INSTITUCIONAL DA UFPB:  MEMÓRIAS DE REITORES (1955-2016),THAÍS GAUDENCIO DO RÊGO,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA,2016,Ciência da Computação,,PIBIC,
UTILIZAÇÃO DA ANÁLISE SLIDING WINDOW PARA IDENTIFICAÇÃO OFFLINE DE PADRÕES DE MOVIMENTOS HUMANOS ATRAVÉS DOS SINAIS GERADOS POR UM ACELERÔMETRO TRIAXIAL,MONITORAMENTO INTELIGENTE E PERVASIVO DA SAÚDE HUMANA,ALISSON VASCONCELOS DE BRITO,CLAUIRTON DE ALBUQUERQUE SIEBRA,2016,Ciência da Computação,,PIBIC,
DESENVOLVIMENTO DE UM ROBÔ DE USO GERAL PARA INVESTIGAÇÃO DE ALGORITMOS DE CONTROLE AUTÔNOMO,PLATAFORMA REMOTA PARA ENSINO DE ROBÓTICA A DISTÂNCIA,ALISSON VASCONCELOS DE BRITO,CLAUIRTON DE ALBUQUERQUE SIEBRA,2016,Ciência da Computação,,PIBIC,
DESENVOLVIMENTO DE PORTAIS USANDO A FERRAMENTA PARA GERAÇÃO DE INFOGRÁFICO TABLEAU,INFOGRÁFICOS INTERATIVOS NO PROCESSO DE VISUALIZAÇÃO DE DADOS,ALISSON VASCONCELOS DE BRITO,ED PORTO BEZERRA,2016,Ciência da Computação,,PIBIC,
ANÁLISES PARA MODIFICAÇÃO DA PLATAFORMA PARA GERAÇÃO DE INFOGRAFICO DATAWRAPPER,INFOGRÁFICOS INTERATIVOS NO PROCESSO DE VISUALIZAÇÃO DE DADOS,ALISSON VASCONCELOS DE BRITO,ED PORTO BEZERRA,2016,Ciência da Computação,,PIBIC,
DESENVOLVIMENTO DE MODELO DE GERENCIAMENTO DE REDES DE SENSORES SEM FIO,GERENCIAMENTO DE REDES DE SENSORES SEM FIO PARA CIDADES INTELIGENTES,IGUATEMI EDUARDO DA FONSECA,FERNANDO MENEZES MATOS,2016,Ciência da Computação,,PIBITI,
"ALGORITMOS DE ALOCAÇÃO DE ROTA, COMPRIMENTO DE ONDA E BANDA EM REDES ÓPTICAS MB-OFDM",NOVAS FRONTEIRAS PARA PESQUISA EM REDES DE COMUNICAÇÃO,FERNANDO MENEZES MATOS,IGUATEMI EDUARDO DA FONSECA,2016,Ciência da Computação,,PIBIC,
ESTUDO DE ATAQUES DDOS NA CAMADA DE APLICAÇÃO EM REDES IP,NOVAS FRONTEIRAS PARA PESQUISA EM REDES DE COMUNICAÇÃO,FERNANDO MENEZES MATOS,IGUATEMI EDUARDO DA FONSECA,2016,Ciência da Computação,,PIBIC,
DESENVOLVIMENTO DE FERRAMENTAS CAPAZES DE ESTIMULAR O INGRESSO DE ALUNAS DO ENSINO MÉDIO NOS CURSOS SUPERIORES DE CIÊNCIA DA COMPUTAÇÃO,DESENVOLVIMENTO DE FERRAMENTAS COMPUTACIONAIS PARA A PROMOÇÃO DA IGUALDADE DE GÊNERO NA CIÊNCIA DA COMPUTAÇÃO,THAÍS GAUDENCIO DO RÊGO,JOSILENE AIRES MOREIRA,2016,Ciência da Computação,,PIBIC,
PESQUISA E DESENVOLVIMENTO DE UM NOVO MÉTODO DE REALCE E AVALIAÇÃO DE QUALIDADE DE IMAGENS DE IMPRESSÃO DIGITAL,PESQUISA E DESENVOLVIMENTO DE UM SISTEMA DE RECONHECIMENTO BIOMÉTRICO POR IMPRESSÃO DIGITAL,THAÍS GAUDENCIO DO RÊGO,LEONARDO VIDAL BATISTA,2016,Ciência da Computação,,PIBIC,
PESQUISA E DESENVOLVIMENTO DE MÉTODOS DE VISÃO COMPUTACIONAL PARA LOCALIZAÇÃO DE FACES E OLHOS EM FOTOGRAFIAS DIGITAIS,ANÁLISE AUTOMÁTICA DE FOTOGRAFIAS DIGITAIS PARA VERIFICAÇÃO DE ADERÊNCIA AO PADRÃO ICAO,THAÍS GAUDENCIO DO RÊGO,LEONARDO VIDAL BATISTA,2016,Ciência da Computação,,PIBIC,
UM SIMULADOR PARA APRENDIZADO DE ANESTESIA,AMBIENTES VIRTUAIS PARA EDUCAÇÃO E CAPACITAÇÃO EM SAÚDE,IGUATEMI EDUARDO DA FONSECA,LILIANE DOS SANTOS MACHADO,2016,Ciência da Computação,,PIBIC,
CONVERTENDO JOGOS EM PAPEL EM SERIOUS GAMES COMPUTACIONAIS,SERIOUS GAMES PARA A EDUCAÇÃO E TREINAMENTO,IGUATEMI EDUARDO DA FONSECA,LILIANE DOS SANTOS MACHADO,2016,Ciência da Computação,,PIBITI,
CATEGORIZAÇÃO FUNCIONAL DE MOLÉCULAS DE RNAS NÃO-CODIFICANTES A PARTIR DA SEQUÊNCIA PRIMÁRIA E ESTRUTURA SECUNDÁRIA UTILIZANDO MEAN SHIFT,CATEGORIZAÇÃO FUNCIONAL DE MOLÉCULAS DE RNAS NÃO-CODIFICANTES USANDO ALGORITMOS DE CLUSTERIZAÇÃO,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA,THAÍS GAUDENCIO DO RÊGO,2016,Ciência da Computação,,PIBIC,
NAVROBHEX - SISTEMA DE NAVEGAÇÃO PARA ROBÔS BIO-INSPIRADOS,CONTROLE DE FORMAÇÃO DE SISTEMAS MULTI-ROBÔS COM RASTREAMENTO ATIVO DE ALVO PARA MONITORAMENTO DE AMBIENTES,TIAGO MARITAN UGULINO DE ARAUJO,TIAGO PEREIRA DO NASCIMENTO,2016,Ciência da Computação,,PIBIC,
WATCHTOWER - CONSTRUINDO UM SISTEMA SUPERVISÓRIO PARA SISTEMAS MULTI-ROBÔS,CONTROLE DE FORMAÇÃO DE SISTEMAS MULTI-ROBÔS COM RASTREAMENTO ATIVO DE ALVO PARA MONITORAMENTO DE AMBIENTES,TIAGO MARITAN UGULINO DE ARAUJO,TIAGO PEREIRA DO NASCIMENTO,2016,Ciência da Computação,,PIBIC,
UM FRAMEWORK PARA A ESPECIFICAÇÃO E VERIFICAÇÃO DE SISTEMAS MULTI-AGENTES,"UM FRAMEWORK LÓGICO PARA SISTEMAS CONCORRENTES EPISTÊMICOS, TEMPORAIS E ESPACIAIS",DANIELLE ROUSY DIAS DA SILVA,VIVEK NIGAM,2016,Ciência da Computação,,PIBIC,
MODELOS DE INTRUSOS TEMPORAIS,"UM FRAMEWORK LÓGICO PARA SISTEMAS CONCORRENTES EPISTÊMICOS, TEMPORAIS E ESPACIAIS",DANIELLE ROUSY DIAS DA SILVA,VIVEK NIGAM,2016,Ciência da Computação,,PIBIC,
FÍSICA DAS PARTÍCULAS NA ERA LHC,COSMOLOGIA DE NEUTRINOS ESTÉREIS,MARCOS CESAR SANTOS ORIA,CARLOS ANTONIO DE SOUSA PIRES,2016,Física,,PIBIC,
TEORIA DAS PERTURBAÇÕES COSMOLÓGICAS,"FÍSICA DOS NEUTRINOS, MATÉRIA ESCURA E MASSA DO HIGGS EM EXTENSÕES DO MODELO PADRÃO SUPERSIMÉTRICO MÍNIMO",MARCOS CESAR SANTOS ORIA,CARLOS ANTONIO DE SOUSA PIRES,2016,Física,,PIBIC,
MECANISMO DE FORMAÇÃO DE EVENTOS EXTREMOS EM CIRCUITOS ELETRÔNICOS CAÓTICOS,"DINÂMICA NÃO-LINEAR, CAOS E COMPLEXIDADE",VALDIR BARBOSA BEZERRA,HUGO LEONARDO DAVI DE SOUZA CAVALCANTE,2016,Física,,PIBIC,
TEMPOS DE DESSINCRONIZAÇÃO EM CIRCUITOS ELETRÔNICOS CAÓTICOS ACOPLADOS,"DINÂMICA NÃO-LINEAR, CAOS E COMPLEXIDADE",VALDIR BARBOSA BEZERRA,HUGO LEONARDO DAVI DE SOUZA CAVALCANTE,2016,Física,,PIBIC,
GRUPO UNITÁRIO EM NANOESTRUTURAS CAÓTICAS,TEORIA DE MATRIZES ALEATÓRIAS: CAOS QUÂNTICO E UNIVERSALIDADE EM NANOESTRUTURAS,VALDIR BARBOSA BEZERRA,JORGE GABRIEL GOMES DE SOUZA RAMOS,2016,Física,,PIBIC,
TÉCNICAS DE ESPECTROSCOPIA ATÔMICA COM LASER SEMICONDUTOR,DINÂMICA NÃO-LINEAR COM LASERS E CIRCUITOS ELETRÔNICOS,CARLOS ANTONIO DE SOUSA PIRES,MARCOS CESAR SANTOS ORIA,2016,Física,,PIBIC,
DESENVOLVIMENTO DE DISPOSITIVOS E SISTEMAS OPTOELETRÔNICOS PARA ESTUDOS EM FÍSICA ATÔMICA EXPERIMENTAL,ESTUDOS DE INTERAÇÕES FUNDAMENTAIS EM SUPERFÍCIE E DIFUSÃO DE FÓTONS EM UM VAPOR ATÔMICO RESSONANTE,PAULO SERGIO RODRIGUES DA SILVA,MARTINE PATRICIA ARLTTE CHEVROLLER,2016,Física,,PIBIC,
MONTAGEM E OPERAÇÃO DE APARATO EXPERIMENTAL PARA O ESTUDO DAS INTERAÇÕES ENTRE ÁTOMOS E SUPERFÍCIES,ESTUDOS DE INTERAÇÕES FUNDAMENTAIS EM SUPERFÍCIE E DIFUSÃO DE FÓTONS EM UM VAPOR ATÔMICO RESSONANTE,PAULO SERGIO RODRIGUES DA SILVA,MARTINE PATRICIA ARLTTE CHEVROLLER,2016,Física,,PIBIC,
NEUTRINOS COSMOLÓGICOS,"EXTENSÕES DE GAUGE DO MODELO PADRÃO ELETROFRACO, SUPERSIMETRIA E A MATÉRIA ESCURA NO UNIVERSO",MARCOS CESAR SANTOS ORIA,PAULO SERGIO RODRIGUES DA SILVA,2016,Física,,PIBIC,
O PROBLEMA DA RADIAÇÃO ESCURA,"EXTENSÕES DE GAUGE DO MODELO PADRÃO ELETROFRACO, SUPERSIMETRIA E A MATÉRIA ESCURA NO UNIVERSO",MARCOS CESAR SANTOS ORIA,PAULO SERGIO RODRIGUES DA SILVA,2016,Física,,PIBIC,
COLISÃO DE ÁTOMOS EXCITADOS COM SUPERFÍCIES DIELÉTRICAS,INTERAÇÃO DE ÁTOMOS COM SUPERFÍCIES E CAMPOS EXTERNOS.,PAULO SERGIO RODRIGUES DA SILVA,THIERRY MARCELINO PASSERAT DE SILANS,2016,Física,,PIBIC,
PROPRIEDADES NÃO-LINEARES DA LINHA D1 DO CÉSIO,INTERAÇÃO DE ÁTOMOS COM SUPERFÍCIES E CAMPOS EXTERNOS.,PAULO SERGIO RODRIGUES DA SILVA,THIERRY MARCELINO PASSERAT DE SILANS,2016,Física,,PIBIC,
COSMOLOGIA NEWTONIANA COM CONSTANTE COSMOLÓGICA,SOBRE ALGUNS ASPECTOS DA COSMOLOGIA NEWTONIANA,JORGE GABRIEL GOMES DE SOUZA RAMOS,VALDIR BARBOSA BEZERRA,2016,Física,,PIBIC,
FORMULAÇÃO GEOMÉTRICA DA COSMOLOGIA NEWTONIANA,SOBRE ALGUNS ASPECTOS DA COSMOLOGIA NEWTONIANA,JORGE GABRIEL GOMES DE SOUZA RAMOS,VALDIR BARBOSA BEZERRA,2016,Física,,PIBIC,
ESTUDO DA VIABILIDADE DA COMPOSIÇÃO GRAXA DE BLENDAS DE ÓLEOS VEGETAIS COMÉSTVEIS POR CROMATOGRAFIA GASOSA E RMN 1H E DE 13C,VIABILIDADE DE BLENDAS DE ÓLEOS VEGETAIS COMESTÍVEIS PARA USO COMO ALIMENTO NUTRACÊUTICO,CLAUDIO GABRIEL LIMA JUNIOR,ANTONIA LUCIA DE SOUZA,2016,Química,,PIBIC,
ESTUDO DA ESTABILIDADE TÉRMICA E OXIDATIVA DE BLENDAS DE ÓLEOS  VEGETAIS COMESTÍVEIS POR TÉCNICAS VARIADAS,VIABILIDADE DE BLENDAS DE ÓLEOS VEGETAIS COMESTÍVEIS PARA USO COMO ALIMENTO NUTRACÊUTICO,CLAUDIO GABRIEL LIMA JUNIOR,ANTONIA LUCIA DE SOUZA,2016,Química,,PIBIC,
DIAGNÓSTICO AMBIENTAL DO RIO GRAMAME A PARTIR DO ÍNDICE DE QUALIDADE DAS ÁGUAS (IQA),DIAGNÓSTICO AMBIENTAL DAS BACIAS HIDROGRÁFICAS DO LITORAL SUL DO ESTADO DA PARAÍBA,ILDA ANTONIETA SALATA TOSCANO,CLAUDIA DE OLIVEIRA CUNHA,2016,Química,,PIBIC,
DIAGNÓSTICO AMBIENTAL DO RIO MARÉS A PARTIR DO ÍNDICE DE QUALIDADE DAS ÁGUAS (IQA),DIAGNÓSTICO AMBIENTAL DAS BACIAS HIDROGRÁFICAS DO LITORAL SUL DO ESTADO DA PARAÍBA,WAGNER DE MENDONÇA FAUSTINO,CLAUDIA DE OLIVEIRA CUNHA,2016,Química,,PIVIC,
SÍNTESE DE DERIVADOS OXADIAZÓLICOS DO IBUPROFENO E CETOPROFENO COM POTENCIAL ATIVIDADE ANTI-INFLAMATÓRIA E ANTITUMORAL,"SÍNTESE E CARACTERIZAÇÃO DE NOVOS 1,3,4 OXADIAZÓIS DERIVADOS DE ANTI INFLAMATÓRIOS NÃO ESTERÓIDES",ANTONIA LUCIA DE SOUZA,CLAUDIO GABRIEL LIMA JUNIOR,2016,Química,,PIBIC,
SÍNTESE DE HOMODÍMEROS DE ANTI-INFLAMATÓRIOS NÃO ESTERÓIDES COM POTENCIAL ATIVIDADE ANTI-INFLAMATÓRIA,"SÍNTESE E CARACTERIZAÇÃO DE NOVOS 1,3,4 OXADIAZÓIS DERIVADOS DE ANTI INFLAMATÓRIOS NÃO ESTERÓIDES",ANTONIA LUCIA DE SOUZA,CLAUDIO GABRIEL LIMA JUNIOR,2016,Química,,PIBIC,
SÍNTESE E CARACTERIZAÇÃO DE NOVOS LÍQUIDOS IÔNICOS BASEADOS EM AMINOÁCIDOS E SAIS DE AMÔNIO QUATERNÁRIO DE CADEIA LONGA PARA INCORPORAÇÃO EM BIOFILMES,"LÍQUIDOS IÔNICOS BASEADOS EM BIOMOLÉCULAS: SÍNTESE, CARACTERIZAÇÃO E APLICAÇÃO EM BIOFILMES",MAX ROCHA QUIRINO,DAYSE DAS NEVES MOREIRA,2016,Química,,PIBIC,
SNTESE E CARACTERIZAO DE NOVOS LQUIDOS INICOS DUAIS BASEADOS EM PEPTDEOS ESTERIFICADOS E COMPOSTOS ANTIMICROBIANOS PARAINCORPORAO EM BIOFILMES,"LÍQUIDOS IÔNICOS BASEADOS EM BIOMOLÉCULAS: SÍNTESE, CARACTERIZAÇÃO E APLICAÇÃO EM BIOFILMES",RENALDO TENÓRIO DE MOURA JUNIOR,DAYSE DAS NEVES MOREIRA,2016,Química,,PIBIC,
FORMULAÇÃO DO IQC BASEADA EM MEDIDAS NIR DE REFLECTÂNCIA DIFUSA NO PÓ DOS CAFÉS,CONSTRUÇÃO DE ÍNDICE DE QUALIDADE DE CAFÉ (IQC) BASEADA EM MEDIDAS ESPECTROANALÍTICAS E ANÁLISE MULTIVARIADA,ILDA ANTONIETA SALATA TOSCANO,EDVAN CIRINO DA SILVA,2016,Química,,PIBIC,
FORMULAÇÃO DO IQC BASEADA EM MEDIDAS DE ABSORÇÃO MOLECULAR UV-VIS NO EXTRATO AQUOSO DOS CAFÉS,ÍNDICE DE QUALIDADE DE CAFÉ (IQC) BASEADO EM MEDIDAS ESPECTROANALÍTICAS E ANÁLISE MULTIVARIADA,ILDA ANTONIETA SALATA TOSCANO,EDVAN CIRINO DA SILVA,2016,Química,,PIBIC-AF,
"ESTUDO DA BANDA DE ABSORÇÃO N-S* DO 1,1,1-TRIFLUORO-2,2-DICLOROETANO (F3C-CHCL2)",FOTOQUÍMICA DE CLOROFLUORCARBONOS (CFCS E HCFCS): UM ESTUDO TD-DFT.,WAGNER DE MENDONÇA FAUSTINO,ELIZETE VENTURA DO MONTE,2016,Química,,PIBIC,
"ESTUDO DA BANDA DE ABSORÇÃO N-S* DO 1,1,1-TRIFLUORO-2-CLOROETANO (F3C-CH2CL)",FOTOQUÍMICA DE CLOROFLUORCARBONOS (CFCS E HCFCS): UM ESTUDO TD-DFT.,WAGNER DE MENDONÇA FAUSTINO,ELIZETE VENTURA DO MONTE,2016,Química,,PIBIC-AF,
SÍNTESE DE NOVOS COMPLEXOS DE AL3+ E GA3+ COM LIGANTES INDANDIONATOS APRESENTANDO GRUPOS SUBSTITUINTES AROMÁTICOS,"SÍNTESE, CARACTERIZAÇÃO E PROPRIEDADES LUMINESCENTES DE COMPOSTOS DE DIFERENTES CENTROS METÁLICOS PARA APLICAÇÕES EM DISPOSITIVOS MOLECULARES CONVERSORES DE LUZ",RICARDO ALEXANDRE CAVALCANTI DE LIMA,ERCULES EPAMINONDAS DE SOUSA TEOTONIO,2016,Química,,PIVIC,
COMPLEXOS TRIS(DICETONATOS) DE ÍONS LANTANÍDEOS CONTENDO O ÍON NITRATO COMO LIGANTE,"NOVOS COMPOSTOS MISTOS DE ÍONS LANTANÍDEOS COM LIGANTES ?-DICETONATOS ALIFÁTICOS E INDANDIONATOS: SÍNTESE, CARACTERIZAÇÃO, ESTRUTURAS E PROPRIEDADES LUMINESCENTES NAS REGIÕES DO VISÍVEL E NIR",VERLUCIA AMANDA MACHADO DE FREITAS,ERCULES EPAMINONDAS DE SOUSA TEOTONIO,2016,Química,,PIBIC,
NOVOS COMPOSTOS MISTOS DE ÍONS LANTANÍDEOS COM LIGANTES ?-DICETONATOS COM LUMINESCÊNCIA NO VISÍVEL,"NOVOS COMPOSTOS MISTOS DE ÍONS LANTANÍDEOS COM LIGANTES ?-DICETONATOS ALIFÁTICOS E INDANDIONATOS: SÍNTESE, CARACTERIZAÇÃO, ESTRUTURAS E PROPRIEDADES LUMINESCENTES NAS REGIÕES DO VISÍVEL E NIR",RICARDO ALEXANDRE CAVALCANTI DE LIMA,ERCULES EPAMINONDAS DE SOUSA TEOTONIO,2016,Química,,PIVIC,
NOVOS COMPOSTOS MISTOS DE ÍONS LANTANÍDEOS COM LIGANTES ?-DICETONATOS COM LUMINESCÊNCIA NO NIR,"NOVOS COMPOSTOS MISTOS DE ÍONS LANTANÍDEOS COM LIGANTES ?-DICETONATOS ALIFÁTICOS E INDANDIONATOS: SÍNTESE, CARACTERIZAÇÃO, ESTRUTURAS E PROPRIEDADES LUMINESCENTES NAS REGIÕES DO VISÍVEL E NIR",RICARDO ALEXANDRE CAVALCANTI DE LIMA,ERCULES EPAMINONDAS DE SOUSA TEOTONIO,2016,Química,,PIVIC,
COMPLEXOS LUMINESCENTES DE ÍONS LANTANÍDEOS LIGADOS COVALENTEMENTE ÀS SUPERFÍCIES DE VERMICULITA,NOVOS MATERIAIS HÍBRIDOS ORGÂNICO-INORGÂNICOS LUMINESCENTES CONTENDO COMPLEXOS DE ÍONS LANTANÍDEOS LIGADOS COVALENTEMENTE ÀS SUPERFÍCIES DE VERMICULITA,VERLUCIA AMANDA MACHADO DE FREITAS,ERCULES EPAMINONDAS DE SOUSA TEOTONIO,2016,Química,,PIBIC,
SÍNTESE DE ADUTOS DE MORITA-BAYLIS-HILLMAN A PARTIR DO ACRILATO DE 2-(6-AMINO-9H-PURIN-9-IL)ETILA,SÍNTESE DE NOVOS ADUTOS DE MORITA-BAYLIS-HILLMAN COM POTENCIAIS ATIVIDADES ANTICÂNCER,JULIANA ALVES VALE,FABIO PEDROSA LINS SILVA,2016,Química,,PIBIC,
SÍNTESE DE DERIVADOS DE ADUTOS DE MORITA-BAYLIS-HILLMAN COMO POTENCIAIS ANTIMETABÓLICOS,SÍNTESE DE NOVOS ADUTOS DE MORITA-BAYLIS-HILLMAN COM POTENCIAIS ATIVIDADES ANTICÂNCER,JULIANA ALVES VALE,FABIO PEDROSA LINS SILVA,2016,Química,,PIBIC,
