"Plano:","Projeto:","Avaliador:","Orientador:","Vigência:","Área:","Subárea:","Programa:","Centro:"
"PRODUÇÃO DE NANOTUBOS DE ÓXIDO DE FERRO (GOETITA; HEMATITA E MAGNETITA)","PRODUÇÃO DE NANOTUBOS DE ÓXIDO DE FERRO, (CATALISADORES E ADSORVENTES) E AVALIAÇÃO DE SUAS PROPRIEDADES ADSORTIVAS","LEOPOLDO OSWALDO ALCAZAR ROJAS","VIVIAN STUMPF MADEIRA","2014","Engenharia Química","Operações Industriais e Equipamentos para Engenharia Química","PIBIC",""
"AVALIAÇÃO DOS EFEITOS DA ADMINISTRAÇÃO INTRAVENOSA DO NITRATO DE HEXANOL, UM NITRATO ORGÂNICO, SOBRE OS PARÂMETROS CARDIOVASCULARES E O BALANÇO AUTONÔMICO EM ANIMAIS NORMOTENSOS","BIOTECNOLOGIA APLICADA À SAÚDE: DESENVOLVIMENTO DE NOVOS NITRATOS ORGÂNICOS COM POTENCIAL TERAPÊUTICO","FLÁVIA DE OLIVEIRA PAULINO","VALDIR DE ANDRADE BRAGA","2014","Biotecnologia","","PIBIC",""
"A ARGUMENTAÇÃO POR MEIO DA MODALIZAÇÃO EM CARTAS DE COBRANÇA PARAIBANAS PRESENTES EM JORNAIS DOS SÉCULOS XIX E XX","TRADIÇÃO DISCURSIVA NOS JORNAIS PARAIBANOS DOS SÉCULOS XIX E XX: MUDANÇAS E PERMANÊNCIAS NA AÇÃO ARGUMENTATIVA DE DIVULGAÇÃO PÚBLICA","TANIA LIPARINI CAMPOS","ROSEANE BATISTA FEITOSA NICOLAU","2014","Lingüística","Lingüística Histórica","PIBIC",""
"UMA ANÁLISE CRÍTICA DAS IDEIAS DE MODERNIDADE, CIVILIDADE E PROGRESSO NOS RELATÓRIOS PROVINCIAIS NA PARAHYBA OITOCENTISTA (1870-1930)","PENSAR O NORDESTE E OS SEUS SUJEITOS: CIRCULAÇÃO DE IDEIAS, HISTÓRIA DOS INTELECTUAIS E EDUCAÇÃO NO BRASIL","MARIA ELIZETE GUIMARAES CARVALHO","JEAN CARLO DE CARVALHO COSTA","2014","Educação","Fundamentos da Educação","PIBIC",""
"A ARTICULAÇÃO INTERINSTITUCIONAL NA GESTÃO PÚBLICA DOS MUNICÍPIOS DA REGIÃO NORDESTE","OS MECANISMOS DE GOVERNANÇA DEMOCRÁTICA DAS POLÍTICAS PÚBLICAS","FRANCISCO JOSÉ DA COSTA","JAMES BATISTA VIEIRA","2014","Administração","Administração Pública","PIBIC",""
"TRAJETÓRIAS PROFISSIONAIS DOS CIENTISTAS SOCIAIS FORMADOS NO CURSO DE GRADUAÇÃO EM CIÊNCIAS SOCIAIS DA UFPB, CAMPUS I, NO PERÍODO DE 1998 A 2012","O CIENTISTA SOCIAL PARAIBANO: TRAJETÓRIA DOS EGRESSOS DO CURSO DE CIÊNCIAS SOCIAIS DA UFPB CAMPUS I.","ISA MARIA FREIRE","EDVALDO CARVALHO ALVES","2014","Sociologia","Outras Sociologias Específicas","PIBIC",""
"DESCRIÇÃO SOCIOCOGNITIVA DAS CONSTRUÇÕES LÉXICO-SEMÂNTICAS NO FALAR PESSOENSE","ABORDAGEM COGNITIVA DAS CONSTRUÇÕES LINGUÍSTICAS NA VARIEDADE PESSOENSE","MARIA DE FATIMA BARBOSA DE MESQUITA BATISTA","JAN EDSON RODRIGUES LEITE","2014","Lingüística","Teoria e Análise Lingüística","PIBIC",""
"CONSTRUÇÃO DA IDENTIDADE PROFISSIONAL DE PROFESSORES DE GEOGRAFIA DO ENSINO FUNDAMENTAL","FORMAÇÃO PROFISSIONAL, PRÁTICAS DOCENTES E CONSTRUÇÃO DA IDENTIDADE DE PROFESSORES DE GEOGRAFIA DA ESCOLA BÁSICA EM JOÃO PESSOA - PB","BARTOLOMEU ISRAEL DE SOUZA","ANTONIO CARLOS PINHEIRO","2014","Geografia","","PIBIC",""
"MODELAGEM MATEMÁTICA E MÉTODOS EXPERIMENTAIS DE UM INSTRUMENTO DIFERENCIAL DA ANALISE DE PROPRIEDADES TÉRMICAS PELA HARMÔNICA PURA","ESTUDO INTEGRADO EM INSTRUMENTAÇÃO E CONTROLE, ENERGIA E CIÊNCIA TÉRMICA","JOSE MAURICIO ALVES DE MATOS GURGEL","FRANCISCO ANTONIO BELO","2014","Engenharia Mecânica","Engenharia Térmica","PIBIC",""
"DESENVOLVIMENTO DE SOFTWARE EM LABVIEW PARA ANÁLISE DE FALHAS EM MOTORES DE INDUÇÃO TRIFÁSICOS","REDE DE SENSORES SEM FIO COM PROCESSAMENTO EMBARCADO PARA DETERMINAÇÃO DO TORQUE DINÂMICO, EFICIÊNCIA E DIAGNÓSTICO DE FALHAS EM MOTORES DE INDUÇÃO EM AMBIENTE INDUSTRIAL","RAIMUNDO APRIGIO DE MENEZES JUNIOR","ABEL CAVALCANTE LIMA FILHO","2014","Engenharia Mecânica","Mecânica dos Sólidos","PIBIC",""
"LEVANTAMENTO QUALITATIVO E QUANTITATIVO DOS RESÍDUOS GERADOS NO LABORATÓRIO DE QUÍMICA ANALÍTICA DA UFPB - CAMPUS I","LEVANTAMENTO QUALITATIVO E QUANTITATIVO DOS RESÍDUOS GERADOS NO LABORATÓRIO DE QUÍMICA ANALÍTICA DA UFPB - CAMPUS II","SAVIO MOITA PINHEIRO","MARIA BETANIA HERMENEGILDO DOS SANTOS","2014","Química","Química Analítica","PIBIC-EM",""
"AVALIAÇÃO DA COMPOSIÇÃO LIPÍDICA COM ÊNFASE NO CLA DOS PRODUTOS LÁCTEOS PARAIBANOS","COMPOSIÇÃO DE ÁCIDOS GRAXOS COM ÊNFASE NO ÁCIDO LINOLÉICO CONJUGADO (CLA) DE QUEIJOS E PRODUTOS LÁCTEOS FERMENTADOS PRODUZIDOS NO ESTADO DA PARAÍBA","JOAO ANDRADE DA SILVA","MARTA SUELY MADRUGA","2014","Ciência e Tecnologia de Alimentos","Ciência de Alimentos","PIBIC",""
"AVALIAÇÃO DA FAUNA PARASITÁRIA DE TRAÍRA (HOPLIAS MALABARICUS) PROVENIENTE DE AÇUDES LOCALIZADOS NO MUNICÍPIO DE SUMÉ, ESTADO DA PARAÍBA","FAUNA PARASITÁRIA DE TRAÍRA (HOPLIAS MALABARICUS) PROVENIENTE DE AÇUDES LOCALIZADOS NO MUNICÍPIO DE SUMÉ, ESTADO DA PARAÍBA","JOSE NELIO DE SOUSA SALES","FABIANA SATAKE","2014","Medicina Veterinária","Patologia Animal","PIBIC",""
"CARACTERIZAÇÃO DE BEBIDA LÁCTEA FERMENTADA COM GRÃOS DE KEFIR: ACEITABILIDADE DE BEBIDA LÁCTEA FERMENTADA","ELABORAÇÃO DE BEBIDA LÁCTEA FERMENTADA COM GRÃOS DE KEFIR À BASE DE LEITE DE CABRA, AVALIAÇÃO DE SUAS CARACTERÍSTICAS FISICO-QUÍMICAS E ACEITABILIDADE","HAISSA ROBERTA CARDARELLI","PRISCILLA DINIZ LIMA DA SILVA BERNARDINO","2014","Ciência e Tecnologia de Alimentos","Tecnologia de Alimentos","PIBIC-EM",""
"AVALIAÇÃO DA CALAGEM, ADUBAÇÃO ORGÂNICA E POTÁSSICA EM PLANTAS DO NIM","AVALIAÇÃO DA ADUBAÇÃO ORGÂNICA E POTÁSSICA EM PLANTAS EXÓTICAS (NIM E NONI)","ALEX DA SILVA BARBOSA","BELÍSIA LÚCIA MOREIRA TOSCANO DINIZ","2014","Agronomia","Fitotecnia","PIBIC-EM",""
"USO DA TECNOLOGIA DA INFORMAÇÃO COMO RECURSO EDUCACIONAL","INFORMÁTICA COMO INSTRUMENTO EDUCACIONAL E DE COMUNICAÇÃO","MARIA DE FATIMA AGRA","MARCIA VERONICA COSTA MIRANDA","2014","Ciência da Computação","Sistemas de Computação","PIBIC-EM",""
"MÉTODOS DE CALIBRAÇÃO DE EQUIPAMENTOS DE ULTRASSOM E MICRO-ONDAS","METODOLOGIAS ALTERNATIVAS: UTILIZAÇÃO DE ULTRASSOM E MICRO-ONDAS EM SÍNTESE ORGÂNICA","RODRIGO RONELLI DUARTE DE ANDRADE","DAYSE DAS NEVES MOREIRA","2014","Química","Química Orgânica","PIBIC-EM",""
"GERAÇÃO DE IDEIAS PARA SOLUCIONAR AS FRAGILIDADES DO GRUPO DE PESQUISA ""INFORMAÇÃO, APRENDIZAGEM E CONHECIMENTO""","MONITORAMENTO DO AMBIENTE INFORMACIONAL DO GRUPO DE PESQUISA INFORMAÇÃO, APRENDIZAGEM E CONHECIMENTO POR MEIO DA ADOÇÃO DE FERRAMENTAS DE INTELIGÊNCIA ORGANIZACIONAL","ISA MARIA FREIRE","EMEIDE NOBREGA DUARTE","2014","Ciência da Informação","Teoria da Informação","PIBIC",""
"EFEITO DO TREINAMENTO DE FORÇA NO AMBIENTE AQUÁTICO SOBRE A COMPOSIÇÃO CORPORAL","EFEITOS DO TREINAMENTO DE FORÇA E ENDURANCE NO AMBIENTE AQUÁTICO SOBRE OS NÍVEIS DE COMPOSIÇÃO CORPORAL E DESEMPENHO FÍSICO","LUCIANO MEIRELES DE PONTES","MARIA DO SOCORRO CIRILO DE SOUSA","2014","Educação Física","","PIVIC",""
