"Plano:","Projeto:","Avaliador:","Orientador:","Vigência:","Área:","Subárea:","Programa:","Centro:"
"REGRESSÃO E PREVISÃO DA RELEVÂNCIA CIENTÍFICA","PREDIÇÃO AUTOMÁTICA DA RELEVÂNCIA CIENTÍFICA DE PESQUISADORES A PARTIR DA ANÁLISE DAS MÉTRICAS DE SUAS REDES DE COLABORAÇÃO","VALDECIR BECKER","ALEXANDRE NOBREGA DUARTE","2015","Ciência da Computação","Sistemas de Computação","PIBIC",""
"USO DE ONTOLOGIAS PARA EDUCAÇÃO E TREINAMENTO EM INFORMÁTICA EM SAÚDE","INTELIGÊNCIA ARTIFICIAL E INFORMÁTICA EM SAÚDE","CLAUIRTON DE ALBUQUERQUE SIEBRA","NATASHA CORREIA QUEIROZ LINO","2015","Ciência da Computação","Metodologia e Técnicas da Computação","PIBIC",""
"ABORDAGEM SEMÂNTICA POR MEIO DE ONTOLOGIAS PARA SUPORTE À DECISÃO CLÍNICA EM INFORMÁTICA EM SAÚDE","INTELIGÊNCIA ARTIFICIAL E INFORMÁTICA EM SAÚDE","CLAUIRTON DE ALBUQUERQUE SIEBRA","NATASHA CORREIA QUEIROZ LINO","2015","Ciência da Computação","Metodologia e Técnicas da Computação","PIBIC",""
"CONFIGURAÇÃO DE UMA REDE NEURAL PARA IDENTIFICAÇÃO DE MOVIMENTOS HUMANOS ATRAVÉS DE SINAIS GERADOS POR UM ACELERÔMETRO TRIAXIAL","MONITORAMENTO INTELIGENTE E PERVASIVO DA SAÚDE HUMANA","LEONARDO VIDAL BATISTA","CLAUIRTON DE ALBUQUERQUE SIEBRA","2015","Ciência da Computação","Metodologia e Técnicas da Computação","PIBIC",""
"AVALIAÇÃO EMPÍRICA DE UMA ABORDAGEM BASEADA EM REDES NEURAIS PARA A PREVISÃO DE DEFEITOS DE SOFTWARE","TÉCNICAS DE PREDIÇÃO DE DEFEITOS DE SOFTWARE BASEADAS EM APRENDIZAGEM DE MÁQUINA","LEONARDO VIDAL BATISTA","CLAUIRTON DE ALBUQUERQUE SIEBRA","2015","Ciência da Computação","Metodologia e Técnicas da Computação","PIBIC",""
"PROPOSTA DE SERVIÇO WEB PARA A CRIAÇÃO SIMPLIFICADA DE EXERCÍCIOS ONLINE POR PROFESSORES","EDUCSERVICE: PROPOSTA E AVALIAO DE APLICATIVOS E SERVIOS DE SUPORTE AO  PROCESSO DE ENSINO-APRENDIZAGEM","TIAGO PEREIRA DO NASCIMENTO","AYLA DEBORA DANTAS DE SOUZA REBOUCAS","2015","Ciência da Computação","Metodologia e Técnicas da Computação","PIBIC",""
"SEGMENTAÇÃO E CLASSIFICAÇÃO DE NÓDULOS EM IMAGENS MAMOGRÁFICAS UTILIZANDO APRENDIZAGEM DE MÁQUINA","PESQUISA E DESENVOLVIMENTO DE UM SISTEMA DE AUXÍLIO AO DIAGNÓSTICO MÉDICO BASEADO EM MAMOGRAFIA - SIAD","CLAUIRTON DE ALBUQUERQUE SIEBRA","LEONARDO VIDAL BATISTA","2015","Ciência da Computação","Metodologia e Técnicas da Computação","PIBIC",""
"PESQUISA E DESENVOLVIMENTO DE UM SISTEMA DE OTIMIZAÇÃO DE ATRIBUTOS PARA RECONHECIMENTO MULTIBIOMÉTRICO POR IMPRESSÃO PALMAR E GEOMETRIA DA MÃO","PROJETO BIOPASS - PESQUISA E DESENVOLVIMENTO DE UM SISTEMA MULTIFATOR E MULTIBIOMÉTRICO DE IDENTIFICAÇÃO E AUTENTICAÇÃO DE USUÁRIOS","CLAUIRTON DE ALBUQUERQUE SIEBRA","LEONARDO VIDAL BATISTA","2015","Ciência da Computação","Metodologia e Técnicas da Computação","PIBIC",""
"AVALIAÇÃO DE SISTEMAS EMBARCADOS DE ROBÔS ATRAVÉS DE SIMULAÇÃO COM HARDWARE-IN-THE-LOOP","DESENVOLVIMENTO DE UM AMBIENTE PARA SIMULAÇÃO DISTRIBUÍDA DE SISTEMAS EMBARCADOS COMPLEXOS E HETEROGÊNEOS","TIAGO PEREIRA DO NASCIMENTO","ALISSON VASCONCELOS DE BRITO","2015","Ciência da Computação","Sistemas de Computação","PIBIC",""
"VERIFICAÇÃO FUNCIONAL EM TEMPO REAL DE ROBÔS MÓVEIS","DESENVOLVIMENTO DE UM AMBIENTE PARA SIMULAÇÃO DISTRIBUÍDA DE SISTEMAS EMBARCADOS COMPLEXOS E HETEROGÊNEOS","TIAGO PEREIRA DO NASCIMENTO","ALISSON VASCONCELOS DE BRITO","2015","Ciência da Computação","Sistemas de Computação","PIBIC",""
"DESENVOLVIMENTO DE ESTRÁTEGIAS E MODELOS PARA INCORPORAÇÃO DE ASPECTOS SEMÂNTICOS E PRAGMÁTICOS NO TRADUTOR AUTOMÁTICO","UMA ESTRATÉGIA DE TRADUÇÃO AUTOMÁTICA DE TEXTOS EM LÍNGUA PORTUGUESA PARA GLOSA EM LÍNGUA BRASILEIRA DE SINAIS","VALDECIR BECKER","TIAGO MARITAN UGULINO DE ARAUJO","2015","Ciência da Computação","Sistemas de Computação","PIBIC",""
"DAAS: DICTIONARY AS A SERVICE: UM SERVIÇO DE DICIONÁRIO DE LIBRAS ABERTO","ACESSIBILIDADE NA EAD: OBJETOS DE APRENDIZAGEM BASEADOS EM INTÉRPRETES VIRTUAIS PARA O ENSINO DE LIBRAS","VALDECIR BECKER","TIAGO MARITAN UGULINO DE ARAUJO","2015","Ciência da Computação","Sistemas de Computação","PIBIC",""
"ANÁLISE DA INTERAÇÃO DE PÓRTICOS PLANOS COM O SOLO","DESENVOLVIMENTO DO SOFTWARE SADEA","ED PORTO BEZERRA","JOSE MARCILIO FILGUEIRAS CRUZ","2015","Ciência da Computação","Sistemas de Computação","PIBIC",""
"MÉTRICAS PARA AVALIAÇÃO DE TÉCNICAS DE PUNÇÂO UTILIZANDO SISTEMAS HÁPTICO","AMBIENTES VIRTUAIS 3D PARA EDUCAÇÃO E TREINAMENTO EM SAÚDE","JOSE MARCILIO FILGUEIRAS CRUZ","LILIANE DOS SANTOS MACHADO","2015","Ciência da Computação","Sistemas de Computação","PIBIC",""
"ALGORITMOS DE ALOCAÇÃO DE ROTA E ESPECTRO EM REDES ÓTICAS ELÁSTICAS COM REQUESITOS DE QUALIDADE DE TRANSMISSÃO","AÇÕES PARA PESQUISA EM REDES DE COMUNICAÇÃO","TIAGO MARITAN UGULINO DE ARAUJO","IGUATEMI EDUARDO DA FONSECA","2015","Ciência da Computação","Sistemas de Computação","PIBIC",""
"ACOPLAMENTO DE OSCILADORES ELETRÔNICOS NÃO LINEARES","DINÂMICA NÃO-LINEAR COM LASERS E CIRCUITOS ELETRÔNICOS","THIERRY MARCELINO PASSERAT DE SILANS","MARCOS CESAR SANTOS ORIA","2015","Física","Física Geral","PIBIC",""
"A TEORIA DO BIG-BANG QUENTE","EXTENSÕES DE GAUGE DO MODELO PADRÃO ELETROFRACO, SUPERSIMETRIA E A MATÉRIA ESCURA NO UNIVERSO","MARTINE PATRICIA ARLTTE CHEVROLLER","PAULO SERGIO RODRIGUES DA SILVA","2015","Física","Física das Partículas Elementares e Campos","PIBIC",""
"COSMOLOGIA DO UNIVERSO PRIMORDIAL E A RADIAÇÃO CÓSMICA DE FUNDO","EXTENSÕES DE GAUGE DO MODELO PADRÃO ELETROFRACO, SUPERSIMETRIA E A MATÉRIA ESCURA NO UNIVERSO","MARTINE PATRICIA ARLTTE CHEVROLLER","PAULO SERGIO RODRIGUES DA SILVA","2015","Física","Física das Partículas Elementares e Campos","PIBIC",""
"ANÁLISE DAS SOLUÇÕES DAS EQUAÇÕES DE EINSTEIN NO VAZIO CONSIDERANDO A AUSÊNCIA E A PRESENÇA DA CONSTANTE COSMOLÓGICA","ANÁLISE GEOMÉTRICA DAS SOLUÇÕES DAS EQUAÇÕES DE EINSTEIN NO VAZIO","PAULO SERGIO RODRIGUES DA SILVA","EUGENIO RAMOS BEZERRA DE MELO","2015","Física","Física das Partículas Elementares e Campos","PIBIC",""
"OSCILADOR HARMÔNICO E APLICAÇÕES","TOPICOS EM FISICA DE PARTICULAS E CAMPOS","EUGENIO RAMOS BEZERRA DE MELO","DIONISIO BAZEIA FILHO","2015","Física","Física das Partículas Elementares e Campos","PIBIC",""
"TERMODINÂMICA DO UNIVERSO PRIMITIVO","FÍSICA DOS NEUTRINOS, MATÉRIA ESCURA E MASSA DO HIGGS EM EXTENSÕES DO MODELO PADRÃO SUPERSIMÉTRICO MÍNIMO","VALDIR BARBOSA BEZERRA","CARLOS ANTONIO DE SOUSA PIRES","2015","Física","Física das Partículas Elementares e Campos","PIBIC",""
"DEFEITOS DEFORMADOS E POTENCIAIS POLINOMIAIS","CAMPOS ESCALARES E APLICAÇÕES EM BRANAS, COSMOLOGIA E ÓTICA","PAULO SERGIO RODRIGUES DA SILVA","LAERCIO LOSANO","2015","Física","Física das Partículas Elementares e Campos","PIBIC",""
"MEDIDA DE PROPRIEDADES NÃO-LINEARES DE VAPORES ATÔMICOS","INTERAÇÃO DE ÁTOMOS COM SUPERFÍCIES E CAMPOS EXTERNOS.","MARCOS CESAR SANTOS ORIA","THIERRY MARCELINO PASSERAT DE SILANS","2015","Física","Física Atômica e Molecular","PIBIC",""
"PROPRIEDADES DA INTERAÇÃO ÁTOMO-SUPERFÍCIE.","INTERAÇÃO DE ÁTOMOS COM SUPERFÍCIES E CAMPOS EXTERNOS.","MARCOS CESAR SANTOS ORIA","THIERRY MARCELINO PASSERAT DE SILANS","2015","Física","Física Atômica e Molecular","PIBIC",""
"MONTAGEM E OPERAÇÃO DE APARATO EXPERIMENTAL PARA O ESTUDO DAS INTERAÇÕES ENTRE ÁTOMOS E SUPERFÍCIES","ESTUDOS DE INTERAÇÕES FUNDAMENTAIS EM SUPERFÍCIE E DIFUSÃO DE FÓTONS EM UM VAPOR ATÔMICO RESSONANTE","PAULO SERGIO RODRIGUES DA SILVA","MARTINE PATRICIA ARLTTE CHEVROLLER","2015","Física","Física Atômica e Molecular","PIBIC",""
"O EFEITO HALL EM NANOESTRUTURAS","CAOS QUÂNTICO E UNIVERSALIDADE EM NANOESTRUTURAS","VALDIR BARBOSA BEZERRA","JORGE GABRIEL GOMES DE SOUZA RAMOS","2015","Física","Física da Matéria Condensada","PIBIC",""
"PROPRIEDADES COMPUTACIONAIS E FÍSICAS DE GRANDES CONJUNTOS DE NEURÔNIOS HUMANOS","FLUTUAÇÕES ELETRÔNICAS EM SINAIS MÉDICOS","EUGENIO RAMOS BEZERRA DE MELO","DIONISIO BAZEIA FILHO","2015","Física","Física da Matéria Condensada","PIBIC",""
"BIOTRANSFORMAÇÕES DE ENONAS CÍCLICAS SUBSTITUÍDAS UTILIZANDO CÉLULAS ÍNTEGRAS DE MICRO-ORGANISMOS VIVOS .","BIOCATÁLISE ASSIMÉTRICA MEDIADA POR CÉLULAS ÍNTEGRAS DE MICRO-ORGANISMOS VIVOS E ENZIMAS ISOLADAS","MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS","JULIANA ALVES VALE","2015","Química","Química Orgânica","PIBIC",""
"APLICAÇÃO DE ÁCIDOS DE LEWIS BASEADO EM COMPOSTOS DE ÍONS LANTANÍDEOS NA SÍNTESE DE DERIVADOS DE N-ACIL HIDRAZONAS","APLICAÇÃO DE COMPOSTOS DE ÍONS LANTANÍDEOS ATUANDO COMO CATALISADORES EM REAÇÕES ORGÂNICAS","MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS","JULIANA ALVES VALE","2015","Química","Química Orgânica","PIBIC",""
"SÍNTESE E CARACTERIZAÇÃO DE CRISTAIS LÍQUIDOS FOTOISOMERIZÁVEIS DERIVADOS DE AZO COMPOSTOS","MATERIAIS ORGÂNICOS FUNCIONAIS COM CARACTERÍSTICAS IÔNICAS E NANOESTRUTURAIS","MARCUS TULLIUS SCOTTI","RODRIGO CRISTIANO","2015","Química","Química Orgânica","PIBIC",""
"USO DA ABORDAGEM DE REPLICAO MOLECULAR NA PREPARAO DE NOVOS AMBH COM POTENCIAL ATIVIDADE ANTIPARASITRIA","SÍNTESE DE NOVOS ADUTOS DE MORITA-BAYLIS-HILLMAN E DERIVADOS POTENCIAIS CANDIDATOS A FÁRMACOS ANTIPARASITÁRIOS","MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS","CLAUDIO GABRIEL LIMA JUNIOR","2015","Química","Química Orgânica","PIBITI",""
"ESTUDOS QUÍMICOS DE COMPOSTOS MESOIÔNICOS E DERIVADOS, VISANDO A SUA POTENCIALIDADE ANTIFÚNGICA.","SÍNTESE DE NOVOS HETEROCÍCLICOS COM POTENCIALIDADES BIOLÓGICAS - PERSPECTIVA DE NOVOS FÁRMACOS","MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS","BRUNO FREITAS LIRA","2015","Química","Química Orgânica","PIBIC",""
"SÍNTESE, CARACTERIZAÇÃO E ESTUDOS BIOLÓGICOS DE NOVOS HETEROCÍCLICOS DERIVADOS DAS CHALCONAS, VISANDO POTENCIAL ATIVIDADE BIOLÓGICA.","SÍNTESE DE NOVOS HETEROCÍCLICOS COM POTENCIALIDADES BIOLÓGICAS - PERSPECTIVA DE NOVOS FÁRMACOS","MARCUS TULLIUS SCOTTI","PETRONIO FILGUEIRAS DE ATHAYDE FILHO","2015","Química","Química Orgânica","PIBITI",""
"SÍNTESE DE NOVOS HETEROCÍCLICOS 2,4-DIONA E 2-TIOXO-4ONA COM POTENCIALIDADES BIOLÓGICAS","SÍNTESE DE NOVOS COMPOSTOS IMIDAZOLIDÍNICOS E TIOIMIDAZOLIDÍNICOS","MARCUS TULLIUS SCOTTI","PETRONIO FILGUEIRAS DE ATHAYDE FILHO","2015","Química","Química Orgânica","PIBITI",""
"ADIÇÃO DE FERRAMENTAS DE QUIMIOINFORMÁTICA NO SISTEMATX WEB","DESENVOLVIMENTO DE SISTEMA DE GERENCIAMENTO DE BANCO DE DADOS DE METABÓLITOS SECUNDÁRIOS PARA ESTUDOS QUIMIOTAXONÔMICOS","RODRIGO CRISTIANO","MARCUS TULLIUS SCOTTI","2015","Química","Química Orgânica","PIBIC",""
"ESTUDO DO PERFIL GRAXO E DA ESTABILIDADE TÉRMICA E OXIDATIVA DE ÓLEOS UTILIZADOS COMO ALIMENTOS NUTRACÊUTICOS POR TÉCNICAS DE RMN","ESPECTROSCOPIA DE REONÂNCIA MAGNÉTICA NUCLEAR APLICADA NA AVALIAÇÃO DA QUALIDADE DE ÓLEOS UTILIZADOS COMO ALIMENTOS NUTRACÊUTICOS","WAGNER ANDRÉ VIEIRA DA SILVA","ANTONIA LUCIA DE SOUZA","2015","Química","Química Orgânica","PIBITI",""
"SÍNTESE DE NOVAS TETRAZOLAS BIOISÓSTERICAS DOS ÁCIDOS: ÁCIDO-(±)-CIS-(6-ETIL-TETRAIDROPIRAN-2-IL)-FÓRMICO E DO ÁCIDO-(±)-CIS-(4-CLORO-6-ETIL-TETRAIDRO PIRAN-2-IL)-FÓRMICO","SÍNTESE DE NOVAS TETRAZOLAS BIOISÓSTERICAS DE ÁCIDOS CARBOXÍLICOS TETRAIDROPIRANÍLICOS DE FORTE ATIVIDADES ANALGÉSICAS","MARCUS TULLIUS SCOTTI","MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS","2015","Química","Química Orgânica","PIBITI",""
"SÍNTESE, CARACTERIZAÇÃO E ESTUDO TÉRMICO E CINÉTICO DA DEGRADAÇÃO DOS COMPLEXOS ANTIMONIO (III) E BISMUTO (III) COM POLICARBOXILATOS DERIVADOS DE CLORETO CIANÚRICO","DETERMINAÇÃO DE PARÂMETROS TERMODINÂMICOS E CINÉTICOS DE COMPOSTOS DE COORDENAÇÃO DE ANTIMONIO E BISMUTO COM BASES DE LEWIS","JULIO SANTOS REBOUCAS","JOSE GERALDO DE PAIVA ESPINOLA","2015","Química","Química Inorgânica","PIBIC",""
"OBTENÇÃO E SILANIZAÇÃO DE SÍLICA MESOPOROSA DO TIPO SBA-15 E APLICAÇÃO: UMA ABORDAGEM ATRAVÉS DO PLANEJAMENTO FATORIAL","SÍNTESE DE MATERIAIS HÍBRIDOS FUNCIONAIS E APLICAÇÕES","JULIANA KELLY DIONÍZIO DE SOUZA","FERNANDO JOSE VOLPI EUSEBIO DE OLIVEIRA","2015","Química","Química Inorgânica","PIBIC",""
"MODULADORES REDOX À BASE DE MN-PORFIRINAS NA PRODUÇÃO DE BIOMASSA","MODULADORES REDOX DE ESTRESSE OXIDATIVO DE INTERESSE MEDICINAL E BIOTECNOLÓGICO","JOSE GERALDO DE PAIVA ESPINOLA","JULIO SANTOS REBOUCAS","2015","Química","Química Inorgânica","PIBIC",""
"MN-PORFIRINAS COMO MODULADORES REDOX EM BIOTRANSFORMAÇÃO","MODULADORES REDOX DE ESTRESSE OXIDATIVO DE INTERESSE MEDICINAL E BIOTECNOLÓGICO","JOSE GERALDO DE PAIVA ESPINOLA","JULIO SANTOS REBOUCAS","2015","Química","Química Inorgânica","PIBIC",""
"BASNO3:CU2+ OBTIDO PELO MÉTODO PECHINI MODIFICADO, PARA FOTODEGRADAÇÃO DE CORANTES TÊXTEIS","ÓXIDOS OBTIDOS PELO MÉTODO PECHINI PARA FOTOCATÁLISE HETEROGÊNEA","WAGNER ANDRÉ VIEIRA DA SILVA","IEDA MARIA GARCIA DOS SANTOS","2015","Química","Química Inorgânica","PIBIC",""
"SÍNTESE, CARACTERIZAÇÃO E PROPRIEDADES LUMINESCENTES DE COMPOSTOS DE AL3+ E GA3+ COM LIGANTE 2-ACIL-1,3-INDANONATOS","SÍNTESE, CARACTERIZAÇÃO E PROPRIEDADES LUMINESCENTES DE COMPOSTOS DE DIFERENTES CENTROS METÁLICOS PARA APLICAÇÕES EM DISPOSITIVOS MOLECULARES CONVERSORES DE LUZ","JULIANA KELLY DIONÍZIO DE SOUZA","ERCULES EPAMINONDAS DE SOUSA TEOTONIO","2015","Química","Química Inorgânica","PIBIC",""
"SÍNTESE E ESTUDO DAS PROPRIEDADES FOTOFÍSICAS DE NOVOS COMPLEXOS MISTOS DE B-DICETONATOS E DITIOCARBAMATOS DE ÍONS LANTANÍDEOS","TRANSFERÊNCIA DE ENERGIA E TRANSFERÊNCIA DE CARGA EM COMPLEXOS DE ÍONS LANTANÍDEOS","ILDA ANTONIETA SALATA TOSCANO","WAGNER DE MENDONÇA FAUSTINO","2015","Química","Físico-Química","PIBIC",""
"SOBRE O PAPEL DE GRUPOS DOADORES DE ELÉTRONS NAS PROPRIEDADES FOTOFÍSICAS DE COMPLEXOS TRIS E TETRAKIS B-DICETONATOS AROMÁTICOS DE ÍONS LANTANÍDEOS","TRANSFERÊNCIA DE ENERGIA E TRANSFERÊNCIA DE CARGA EM COMPLEXOS DE ÍONS LANTANÍDEOS","ILDA ANTONIETA SALATA TOSCANO","WAGNER DE MENDONÇA FAUSTINO","2015","Química","Físico-Química","PIBIC",""
"AVALIAÇÃO DA ATIVIDADE ANTIOXIDANTE DO CRANBERRY (VACCINIUM MACROCARPON)","AVALIAÇÃO DA ESTABILIDADE TÉRMICA E OXIDATIVA, E ATIVIDADE ANTIOXIDANTE DO CRANBERRY (VACCINIUM MACROCARPON)","ANGELA LIMA MENÊSES DE QUEIROZ","ANTONIO GOUVEIA DE SOUZA","2015","Ciência e Tecnologia de Alimentos","Tecnologia de Alimentos","PIBITI",""
"IMPLEMENTAÇÃO DA BIBLIOTECA PARALELA SCALAPACK NO PROGRAMA MOPAC PARA PERMITIR SUA EXECUÇÃO EM SISTEMAS COMPUTACIONAIS COM MEMÓRIA DISTRIBUÍDA","ELABORAÇÃO DE UM CÓDIGO SEMI-EMPÍRICO PARALELO","GUILHERME LEOCÁRDIO LUCENA DOS SANTOS","GERD BRUNO DA ROCHA","2015","Química","Físico-Química","PIBIC",""
"PROPOSTA DE UM ALGORITMO PARALELO (CPU-GPU) PARA A MONTAGEM DA MATRIZ DE FOCK DE CÁLCULOS SEMIEMPÍRICOS DE MOLÉCULAS COM MUITOS ÁTOMOS","ELABORAÇÃO DE UM CÓDIGO SEMI-EMPÍRICO PARALELO","GUILHERME LEOCÁRDIO LUCENA DOS SANTOS","GERD BRUNO DA ROCHA","2015","Química","Físico-Química","PIBIC",""
"ESTUDO COMPUTACIONAL DA POLARIDADE DA H2N-C6H4-NO","ESTUDO COMPUTACIONAL DA POLARIDADE DA R2N-C6H4-NO (R = H, CH3)","WAGNER DE MENDONÇA FAUSTINO","SILMAR ANDRADE DO MONTE","2015","Química","Físico-Química","PIBIC",""
"ESTUDO COMPUTACIONAL DA POLARIDADE DA (CH3)2N-C6H4-NO","ESTUDO COMPUTACIONAL DA POLARIDADE DA R2N-C6H4-NO (R = H, CH3)","WAGNER DE MENDONÇA FAUSTINO","SILMAR ANDRADE DO MONTE","2015","Química","Físico-Química","PIBIC",""
"USO DE IMAGENS DIGITAIS E ANÁLISE MULTIVARIADA PARA A CLASSIFICAÇÃO DE PLUMAS DE ALGODÃO (BRANCOS E COLORIDOS) E DETERMINAÇÃO DE PARÂMETROS DE QUALIDADE.","AVALIAÇÃO DA QUALIDADE DE ALGODÕES BRANCOS E NATURALMENTE COLORIDOS","SHERLAN GUIMARAES LEMOS","MÁRCIO JOSÉ COELHO DE PONTES","2015","Química","Química Analítica","PIBIC",""
"USO DE MICROALGAS MARINHAS NA BIORREMEDIAÇÃO DA ÁGUA DE LAVAGEM DO BIODIESEL COM ADIÇÃO DE ÁGUA DO MAR","BIORREMEDIAÇÃO DE ÁGUA DE LAVAGEM DO BIODIESEL UTILIZADA COMO SUBSTRATO NO CULTIVO DE MICROALGAS PARA A PRODUÇÃO DE BIODIESEL","EDVAN CIRINO DA SILVA","ILDA ANTONIETA SALATA TOSCANO","2015","Química","Química Analítica","PIBIC",""
"USO DE MICROALGAS DULCÍCOLAS NA BIORREMEDIAÇÃO DA ÁGUA DE LAVAGEM DO BIODIESEL COM ADIÇÃO DE VINHAÇA","BIORREMEDIAÇÃO DE ÁGUA DE LAVAGEM DO BIODIESEL UTILIZADA COMO SUBSTRATO NO CULTIVO DE MICROALGAS PARA A PRODUÇÃO DE BIODIESEL","EDVAN CIRINO DA SILVA","ILDA ANTONIETA SALATA TOSCANO","2015","Química","Química Analítica","PIBIC",""
"DESENVOLVIMENTO DE MODELOS DE CALIBRAÇÃO MULTIVARIADA PARA ANÁLISE DE GNV A PARTIR DE ESPECTROS NIR","DESENVOLVIMENTO DE UMA METODOLOGIA ANALÍTICA PARA DETERMINAÇÃO  DO TEOR DOS HIDROCARBONETOS MAJORITÁRIOS NO GNV ATRAVÉS DA ESPECTROMETRIA NIR E QUIMIOMETRIA","MÁRCIO JOSÉ COELHO DE PONTES","MARIO CESAR UGULINO DE ARAUJO","2015","Química","Química Analítica","PIBITI",""
"UM SISTEMA AUTOMÁTICO FLUXO-BATELADA PARA DETERMINAÇÃO QUIMILUMINESCENTE DE AL(III) EM CHÁS EMPREGANDO PONTOS QUÂNTICOS DE CDTE E IMAGENS DIGITAIS","DESENVOLVIMENTO DE MÉTODOS ANALÍTICOS QUIMILUMINESCENTES AUTOMÁTICOS BASEADOS  EM PONTOS QUÂNTICOS E IMAGENS DIGITAIS","MÁRCIO JOSÉ COELHO DE PONTES","MARIO CESAR UGULINO DE ARAUJO","2015","Química","Química Analítica","PIBIC",""
"INVESTIGAÇÃO DE DESCRITORES DE QUALIDADE E TÉCNICAS DE ANÁLISE MULTIVARIADA PARA FORMULAÇÃO DO IQC BASEADA EM MEDIDAS NIR DE REFLECTÂNCIA DIFUSA NO PÓ DOS CAFÉS","DESENVOLVIMENTO DO ÍNDICE DE QUALIDADE DE CAFÉ (IQC) BASEADO EM MEDIDAS ESPECTROANALÍTICAS E ANÁLISE MULTIVARIADA","ILDA ANTONIETA SALATA TOSCANO","EDVAN CIRINO DA SILVA","2015","Química","Química Analítica","PIBIC",""
